entityid,TYPE,NAME,ADDRESS,LOCATION,LATITUDE,LONGITUDE
,ATHLETIC FIELD,HENRY JANZEN SOCCER - ATHLETIC FIELD SOCCER ATHLETIC FIELD,390 DALGLIESH DRIVE,HENRY JANZEN SOCCER,50.4904489510001,-104.656014981
,BALL DIAMOND,ST. MICHAEL SCHOOL - BALL DIAMOND BS #258,431 HAMILTON STREET,ST. MICHAEL SCHOOL,50.4712922240001,-104.608229174
,ATHLETIC FIELD,GEORGE LEE SCHOOL - ATHLETIC FIELD SOCCER ATHLETIC FIELD,180 WELLS STREET,GEORGE LEE SCHOOL,50.488620488,-104.648656049
,BALL DIAMOND,W.H. FORD PARK - BALL DIAMOND BS #195,6129 DALGLIESH DRIVE,W.H. FORD PARK,50.4893972230001,-104.670275237
,ATHLETIC FIELD,SANGSTER PARK - ATHLETIC FIELD SOCCER ATHLETIC FIELD,496 SANGSTER BOULEVARD,SANGSTER PARK,50.489806016,-104.626470177
,WASCANA CENTRE,DARKE HALL,2255 COLLEGE AVENUE,WASCANA CENTRE,50.4399389920001,-104.612242963
,BALL DIAMOND,ELSIE DORSEY PARK - BALL DIAMOND BS #10,4199 CASTLE ROAD,ELSIE DORSEY PARK,50.410065681,-104.598646449
,PUBLIC ELEMENTARY SCHOOL,W. F. READY - PUBLIC ELEMENTARY SCHOOL,2710 HELMSING STREET,W. F. READY - PUBLIC ELEMENTARY SCHOOL,50.437423654,-104.539884263
,BALL DIAMOND,IMPERIAL PARK - BALL DIAMOND BS #267,305 ROSE STREET,IMPERIAL PARK,50.4742157810001,-104.608841422
,OUTDOOR RINK SHELTER,MCNAB PARK - OUTDOOR RINK SHELTER,4802 11TH AVENUE,MCNAB PARK,50.4491663090001,-104.647019248
,PLAYGROUND,ARTHUR PARK - PLAYGROUND 4215 SHERWOOD DR,4215 SHERWOOD DRIVE,ARTHUR PARK,50.4748340950001,-104.651470265
,PUBLIC ELEMENTARY SCHOOL,REGINA HUDA - PUBLIC ELEMENTARY SCHOOL,40 SHEPPARD STREET,REGINA HUDA - PUBLIC ELEMENTARY SCHOOL,50.4809461710001,-104.624459566
,ATHLETIC FIELD,HOLY ROSARY - ATHLETIC FIELD SOCCER ATHLETIC FIELD,3118 14TH AVENUE,HOLY ROSARY,50.4442894700001,-104.627544946
,PLAYGROUND,ST. MARGUERITE BOURGEOYS SCHOOL - PLAYGROUND 2910 E SHOOTER DR,2910 E SHOOTER DRIVE,ST. MARGUERITE BOURGEOYS SCHOOL,50.4359253040001,-104.541661323
,BALL DIAMOND,DOUGLAS PARK SW - BALL DIAMOND BS #110,3025 MCDONALD STREET,DOUGLAS PARK SW,50.4273200390001,-104.582093235
,PLAYGROUND,DR. HANNA SCHOOL - PLAYGROUND 55 DAVIN CRES,55 DAVIN CRESCENT,DR. HANNA SCHOOL,50.4893981100001,-104.629077978
,PLAYGROUND,LAKERIDGE PARK N - PLAYGROUND 5560 LEIBEL CRES,5560 LEIBEL CRESCENT,LAKERIDGE PARK N,50.5023616560001,-104.658724846
,ATHLETIC FIELD,KITCHNER SCHOOL - ATHLETIC FIELD SOCCER ATHLETIC FIELD,840 ATHOL STREET,KITCHNER SCHOOL,50.4648982680001,-104.629024054
,OUTDOOR RINK BOARDED,GLEN ELM PARK - OUTDOOR RINK BOARDED,1601 BOND STREET,GLEN ELM PARK,50.452996419,-104.566825537
,BASKETBALL,MASSEY SCHOOL - BASKETBALL,131 MASSEY ROAD,MASSEY SCHOOL,50.4112579950001,-104.60774884
,SEPARATE ELEMENTARY SCHOOL,ST. MARGUERITE BOURGEOYS - SEPARATE ELEMENTARY SCHOOL,2910 E SHOOTER DRIVE,ST. MARGUERITE BOURGEOYS - SEPARATE ELEMENTARY SCHOOL,50.4360300800001,-104.541431856
,ATHLETIC FIELD,LIVINGSTONE FOOTBALL - ATHLETIC FIELD MULTI-USE ATHLETIC FIELD,750 N WINNIPEG STREET,LIVINGSTONE FOOTBALL,50.4870589060001,-104.59833384
,OUTDOOR RINK UNBOARDED,BLOCK 11B PARK - OUTDOOR RINK UNBOARDED,945 REYNOLDS STREET,BLOCK 11B PARK,50.4633195420001,-104.58898544
,OUTDOOR RINK UNBOARDED,RUTH BUCK PARK - OUTDOOR RINK UNBOARDED,6310 7TH AVENUE N,RUTH BUCK PARK,50.4763674690001,-104.672450106
,PUBLIC HIGH SCHOOL,CAMPBELL COLLEGIATE - PUBLIC HIGH SCHOOL,102 MASSEY ROAD,CAMPBELL COLLEGIATE - PUBLIC HIGH SCHOOL,50.412335333,-104.610670409
,PLAYGROUND,ARGYLE SCHOOL - PLAYGROUND 2941 LAKEVIEW AVE,2941 LAKEVIEW AVENUE,ARGYLE SCHOOL,50.421486681,-104.625425322
,PLAYGROUND,STEWART RUSSELL PARK - PLAYGROUND 1912 E 7TH AVE,1912 E 7TH AVENUE,STEWART RUSSELL PARK,50.4587407710001,-104.55593693
,PUBLIC ELEMENTARY SCHOOL,MCLURG - PUBLIC ELEMENTARY SCHOOL,125 PAYNTER CRESCENT,MCLURG - PUBLIC ELEMENTARY SCHOOL,50.4725242580001,-104.680019171
,ATHLETIC FIELD,MASSEY WEST MULTI - ATHLETIC FIELD MULTI-USE ATHLETIC FIELD,2355 PARLIAMENT AVENUE,MASSEY WEST MULTI,50.4142254860001,-104.611956622
,ATHLETIC FIELD,LITZENBERGER - ATHLETIC FIELD SOCCER ATHLETIC FIELD,100 RINK AVENUE,LITZENBERGER,50.4894696540001,-104.649658395
,ATHLETIC FIELD,ST. CATHERINE SCHOOL - ATHLETIC FIELD SOCCER ATHLETIC FIELD,150 BROTHERTON AVENUE,ST. CATHERINE SCHOOL,50.4535658120001,-104.553960359
,OUTDOOR TENNIS,GOCKI PARK - OUTDOOR TENNIS,2230 LINDSAY STREET,GOCKI PARK,50.442700007,-104.585422859
,PLAYGROUND,ST. MICHAEL SCHOOL - PLAYGROUND 431 HAMILTON ST,431 HAMILTON STREET,ST. MICHAEL SCHOOL,50.4713372610001,-104.609091658
,BALL DIAMOND,LAKEVIEW SCHOOL SW - BALL DIAMOND BS #16,3100 20TH AVENUE,LAKEVIEW SCHOOL SW,50.4319128600001,-104.626501832
,PUBLIC ELEMENTARY SCHOOL,THOMSON - PUBLIC ELEMENTARY SCHOOL,2033 TORONTO STREET,THOMSON - PUBLIC ELEMENTARY SCHOOL,50.446264924,-104.598368647
,UNIVERSITY OF REGINA,COLLEGE WEST,3769 WASCANA PARKWAY,UNIVERSITY OF REGINA,50.4174807110001,-104.591588573
,ATHLETIC FIELD,UNIVERSITY PARK/WILFRED HUNT MULTI - ATHLETIC FIELD MULTI-USE ATHLETIC FIELD,25 MICHENER DRIVE,UNIVERSITY PARK/WILFRED HUNT MULTI,50.4306872330001,-104.561056217
,BASKETBALL,PRINCE OF WALES PARK - BASKETBALL,3800 E CUMBERLAND ROAD,PRINCE OF WALES PARK,50.4374109820001,-104.528638359
,BALL DIAMOND,KAPLAN FIELD - BALL DIAMOND BS #288,750 N WINNIPEG STREET,KAPLAN FIELD,50.4879065010001,-104.601194581
,ATHLETIC FIELD,PARKDALE PARK - ATHLETIC FIELD SOCCER ATHLETIC FIELD,901 PRINCESS STREET,PARKDALE PARK,50.463518219,-104.635047171
,FIRE,FIRE HALL NO. 7,132 VICTORIA AVENUE,LOUIS YANKO FIRE HALL,50.4475327440001,-104.583396102
,PLAYGROUND,JENKINS DR. PARK - PLAYGROUND 3706 E JENKINS DR,3706 E JENKINS DRIVE,JENKINS DR. PARK,50.4651811160001,-104.530792299
,BASKETBALL,ST. JEROME SCHOOL - BASKETBALL,770 RINK AVENUE,ST. JEROME SCHOOL,50.4885353170001,-104.681444925
,OUTDOOR POOL,WASCANA - OUTDOOR POOL,2355 COLLEGE AVENUE,WASCANA,50.438530659,-104.613114172
,OUTDOOR POOL,DEWDNEY - OUTDOOR POOL,3355 8TH AVENUE,DEWDNEY,50.4563008760001,-104.62933078
,BALL DIAMOND,CENTRAL PARK - BALL DIAMOND BS #93,2231 SCARTH STREET,CENTRAL PARK,50.4437498620001,-104.609689529
,PUBLIC ELEMENTARY SCHOOL,GRANT ROAD - PUBLIC ELEMENTARY SCHOOL,2501 GRANT ROAD,GRANT ROAD - PUBLIC ELEMENTARY SCHOOL,50.4025223720001,-104.612288674
,PLAYGROUND,PARKDALE PARK - PLAYGROUND 901 PRINCESS ST,901 PRINCESS STREET,PARKDALE PARK,50.463485098,-104.634411519
,BASKETBALL,KEN JENKINS SCHOOL - BASKETBALL,5382 2ND AVENUE N,KEN JENKINS SCHOOL,50.4728004950001,-104.657690636
,PLAYGROUND,GRANT ROAD - PLAYGROUND 2501 GRANT ROAD,2501 GRANT ROAD,GRANT ROAD,50.402245345,-104.611667251
,PLAYGROUND,IMPERIAL PARK - PLAYGROUND 305 ROSE ST,305 ROSE STREET,IMPERIAL PARK,50.4734996000001,-104.607544904
,PLAYGROUND,WILLISTON PARK - PLAYGROUND 30 WILLISTON DR,30 WILLISTON DRIVE,WILLISTON PARK,50.4821863540001,-104.678314456
,BALL DIAMOND,HOLY ROSARY PARK - BALL DIAMOND,2125 ATHOL STREET,HOLY ROSARY PARK,50.4446751560001,-104.627149371
,ATHLETIC FIELD,M.J. COLDWELL - ATHLETIC FIELD SOCCER ATHLETIC FIELD,115 FAIRVIEW ROAD,M.J. COLDWELL,50.4900025250001,-104.611838996
,BASKETBALL,HAULTAIN SCHOOL - BASKETBALL,1033 EDGAR STREET,HAULTAIN SCHOOL,50.461932861,-104.587252354
,PLAYGROUND,DESHAYE SCHOOL E - PLAYGROUND 37 CAMERON CRES,37 CAMERON CRESCENT,DESHAYE SCHOOL E,50.412101502,-104.624488092
,PLAYGROUND,ASSINIBOINE PARK - PLAYGROUND 3355 ROBINSON ST,3355 ROBINSON STREET,ASSINIBOINE PARK,50.4249134720001,-104.62293959
,ATHLETIC FIELD,HAYWORTH CR. PARK - ATHLETIC FIELD SOCCER ATHLETIC FIELD,750 RINK AVENUE,HAYWORTH CR. PARK,50.4899187940001,-104.682142327
,OUTDOOR TENNIS,W.H. FORD PARK - OUTDOOR TENNIS,6129 DALGLIESH DRIVE,W.H. FORD PARK,50.4900352210001,-104.671099551
,BALL DIAMOND,MCLEOD PARK - BALL DIAMOND,3500 QUEEN STREET,MCLEOD PARK,50.4242406720001,-104.637614552
,REC_NBHD FACILITY,ARGYLE PARK COMMUNITY CENTRE - REC_NBHD FACILITY,55 DAVIN CRESCENT,ARGYLE PARK COMMUNITY CENTRE,50.4893779750001,-104.630096064
,SEPARATE ELEMENTARY SCHOOL,ST. MARY - SEPARATE ELEMENTARY SCHOOL,140 N MCINTOSH STREET,ST. MARY - SEPARATE ELEMENTARY SCHOOL,50.4781581990001,-104.654142921
,OUTDOOR TENNIS,A.E. WILSON PARK (WEST) - OUTDOOR TENNIS,1010 MCCARTHY BOULEVARD,A.E. WILSON PARK (WEST),50.4615440850001,-104.673588399
,OUTDOOR RINK SHELTER,HOLY ROSARY SCHOOL  - OUTDOOR RINK SHELTER,2160 CAMERON STREET,HOLY ROSARY SCHOOL,50.444540858,-104.626856561
,PUBLIC ELEMENTARY SCHOOL,KITCHENER - PUBLIC ELEMENTARY SCHOOL,840 ATHOL STREET,KITCHENER - PUBLIC ELEMENTARY SCHOOL,50.4654039660001,-104.629031054
,WASCANA CENTRE,SASKATCHEWAN CENTRE OF THE ARTS,200 LAKESHORE DRIVE,WASCANA CENTRE,50.4283533860001,-104.59783431
,ATHLETIC FIELD,WEEKES PARK - ATHLETIC FIELD SOCCER ATHLETIC FIELD,120 WEEKES CRESCENT,WEEKES PARK,50.4957282760001,-104.607620862
,ATHLETIC FIELD,CURRIE PRACTICE FIELD - ATHLETIC FIELD,750 N WINNIPEG STREET,CURRIE PRACTICE FIELD,50.4885539370001,-104.59552993
,PLAYGROUND,KINSMEN PARK NORTH - PLAYGROUND 750 PASQUA ST,750 PASQUA STREET,KINSMEN PARK NORTH,50.466544076,-104.641347902
,OUTDOOR RINK SHELTER,W.F. READY SCHOOL - OUTDOOR RINK SHELTER,3043 E ARENS ROAD,W.F. READY SCHOOL,50.4366360280001,-104.540054694
,BASKETBALL,ST. TIMOTHY SCHOOL - BASKETBALL,280 SANGSTER BOULEVARD,ST. TIMOTHY SCHOOL,50.4910428570001,-104.632497742
,PUBLIC ELEMENTARY SCHOOL,GLEN ELM - PUBLIC ELEMENTARY SCHOOL,1225 E 9TH AVENUE,GLEN ELM - PUBLIC ELEMENTARY SCHOOL,50.453190254,-104.56567635
,PLAYGROUND,TRANSCONA - PLAYGROUND 725 EMPRESS ST,725 EMPRESS STREET,TRANSCONA,50.4653107670001,-104.653442735
,PARK WATER FEATURE,LAKEWOOD PARK - PARK WATER FEATURE,6024 WHELAN DRIVE,LAKEWOOD PARK,50.5010738060001,-104.669859807
,BALL DIAMOND,CAMPBELL COLLEGIATE - BALL DIAMOND,102 MASSEY ROAD,CAMPBELL COLLEGIATE,50.411573343,-104.612189024
,OUTDOOR RINK UNBOARDED,SHERWOOD PARK - OUTDOOR RINK UNBOARDED,20 WAKEFIELD CRESCENT,SHERWOOD PARK,50.4793151520001,-104.648435775
,PLAYGROUND,MARION MCVEETY SCHOOL N - PLAYGROUND 38 TURGEON CRES,38 TURGEON CRESCENT,MARION MCVEETY SCHOOL N,50.4207623060001,-104.606011938
,SEASONAL WASHROOM,MOUNT PLEASANT CURRIE FIELD WASHROOM - SEASONAL WASHROOM,750 N WINNIPEG STREET,MOUNT PLEASANT CURRIE FIELD WASHROOM,50.4884111210001,-104.595884479
,OUTDOOR RINK UNBOARDED,DIEPPE SCHOOL - OUTDOOR RINK UNBOARDED,145 DOROTHY STREET,DIEPPE SCHOOL,50.4588025100001,-104.681090191
,BALL DIAMOND,DOUGLAS PARK SE - BALL DIAMOND BS #104,3025 MCDONALD STREET,DOUGLAS PARK SE,50.4270617400001,-104.581004096
,BALL DIAMOND,NORTH EAST PARK SE - BALL DIAMOND BS #278 (AKA=REGINA MINOR GIRLS BALL),444 N BROAD STREET,NORTH EAST PARK SE,50.482900257,-104.608125897
,BALL DIAMOND,MASSEY SCHOOL - BALL DIAMOND BS #20,131 MASSEY ROAD,MASSEY SCHOOL,50.4112406550001,-104.605734307
,PLAYGROUND,ST. FRANCIS SCHOOL NE - PLAYGROUND 45 MIKKELSON DR,45 MIKKELSON DRIVE,ST. FRANCIS SCHOOL NE,50.4651067190001,-104.664780399
,PUBLIC ELEMENTARY SCHOOL,HAULTAIN - PUBLIC ELEMENTARY SCHOOL,1033 EDGAR STREET,HAULTAIN - PUBLIC ELEMENTARY SCHOOL,50.4620842620001,-104.587252575
,OUTDOOR RINK BOARDED,MCVEETY PARK - OUTDOOR RINK BOARDED,1851 JUBILEE AVENUE,MCVEETY PARK,50.4204928200001,-104.60739543
,ARENA,DOUG WICKENHEISER - ARENA,1127 N ARNASON STREET,DOUG WICKENHEISER,50.4953867190001,-104.678261514
,ATHLETIC FIELD,PLAINSVIEW PARK - ATHLETIC FIELD SOCCER ATHLETIC FIELD,61 PLAINSVIEW DRIVE,PLAINSVIEW PARK,50.3984018310001,-104.621688155
,PLAYGROUND,GLENCAIRN RECREATION CENTRE - PLAYGROUND 2626 E DEWDNEY AVE,2626 E DEWDNEY AVENUE,GLENCAIRN RECREATION CENTRE,50.4557170050001,-104.543467162
,SPRAYPAD,KINSMEN PARK NORTH - SPRAYPAD 750 PASQUA ST @ 2ND AVE,750 PASQUA STREET,KINSMEN PARK NORTH,50.4667936440001,-104.641605573
,BASKETBALL,ARCOLA SCHOOL - BASKETBALL,2315 ABBOTT ROAD,ARCOLA SCHOOL,50.441747923,-104.576321766
,PLAYGROUND,ST. THERESA SCHOOL N - PLAYGROUND 2707 E 7TH AVE,2707 E 7TH AVENUE,ST. THERESA SCHOOL N,50.458552631,-104.544005898
,BASKETBALL,BALFOUR HIGH SCHOOL - BASKETBALL,1245 COLLEGE AVENUE,BALFOUR HIGH SCHOOL,50.4393953460001,-104.599836924
,SEPARATE ELEMENTARY SCHOOL,ST. ANGELA MERICI - SEPARATE ELEMENTARY SCHOOL,6823 GILLMORE DRIVE,ST. ANGELA MERICI - SEPARATE ELEMENTARY SCHOOL,50.5014979910001,-104.67888921
,PUBLIC ELEMENTARY SCHOOL,RUTH M. BUCK - PUBLIC ELEMENTARY SCHOOL,6330 7TH AVENUE N,RUTH M. BUCK - PUBLIC ELEMENTARY SCHOOL,50.4765155270001,-104.670755138
,ATHLETIC FIELD,LAKERIDGE SPORTS PARK/WINSTON MULTI - ATHLETIC FIELD MULTI-USE ATHLETIC FIELD,5451 ROCHDALE BOULEVARD,LAKERIDGE SPORTS PARK/WINSTON MULTI,50.494309554,-104.656167288
,SEPARATE ELEMENTARY SCHOOL,ST. GREGORY - SEPARATE ELEMENTARY SCHOOL,302 UPLAND DRIVE,ST. GREGORY - SEPARATE ELEMENTARY SCHOOL,50.4923886660001,-104.610506823
,OTHER SCHOOL,UNIVERSITY OF REGINA - COLLEGE AVE. CAMPUS,2155 COLLEGE AVENUE,UNIVERSITY OF REGINA - COLLEGE AVE. CAMPUS,50.4395539220001,-104.610178146
,MALL,CENTENNIAL MALL,1230 BROAD STREET,CENTENNIAL MALL,50.459174751,-104.607875695
,ATHLETIC FIELD,SHERWOOD PARK - ATHLETIC FIELD SOCCER ATHLETIC FIELD,20 WAKEFIELD CRESCENT,SHERWOOD PARK,50.4793968130001,-104.649832274
,PLAYGROUND,DEWDNEY POOL PARK - PLAYGROUND 3355 8TH AVE,3355 8TH AVENUE,DEWDNEY POOL PARK,50.4560780630001,-104.628538
,OTHER SCHOOL,CORNWALL ALTERNATIVE SCHOOL - 40 DIXON CR.,40 DIXON CRESCENT,CORNWALL ALTERNATIVE SCHOOL - 40 DIXON CR.,50.4420161780001,-104.565808407
,WASCANA CENTRE,UNIVERSITY OF REGINA COLLEGE AVE CAMPUS,2155 COLLEGE AVENUE,WASCANA CENTRE,50.440033117,-104.61099706
,UNIVERSITY OF REGINA,ADMINISTRATION HUMANITIES BUILDING,3769 WASCANA PARKWAY,UNIVERSITY OF REGINA,50.4191661,-104.589288296
,ATHLETIC FIELD,MCMURCHY PARK - ATHLETIC FIELD SOCCER ATHLETIC FIELD,250 N GARNET STREET,MCMURCHY PARK,50.480808181,-104.628045449
,REC_NBHD FACILITY,CATHEDRAL NEIGHBOURHOOD CENTRE - REC_NBHD FACILITY,2900 13TH AVENUE,CATHEDRAL NEIGHBOURHOOD CENTRE,50.445711094,-104.622820648
,BALL DIAMOND,KINSMEN PARK NORTH - BALL DIAMOND BS #186,850 PASQUA STREET,KINSMEN PARK NORTH,50.465203069,-104.642914266
,OUTDOOR TENNIS,TENNIS COURT PARK - OUTDOOR TENNIS,5401 SHERWOOD DRIVE,TENNIS COURT PARK,50.4766595940001,-104.658742743
,BALL DIAMOND,DIEPPE SCHOOL  - BALL DIAMOND BS #126,145 DOROTHY STREET,DIEPPE SCHOOL,50.4587418130001,-104.681061339
,PLAYGROUND,COVENTRY PARK - PLAYGROUND 20 COVENTRY RD,20 COVENTRY ROAD,COVENTRY PARK,50.460945435,-104.648520562
,BALL DIAMOND,MILLER HIGH SCHOOL - BALL DIAMOND,1027 COLLEGE AVENUE,MILLER HIGH SCHOOL,50.439098986,-104.59753048
,BASKETBALL,ARGYLE SCHOOL - BASKETBALL,2941 LAKEVIEW AVENUE,ARGYLE SCHOOL,50.4210449460001,-104.626525228
,PLAYGROUND,ST. THERESA SCHOOL S - PLAYGROUND 2707 E 7TH AVE,2707 E 7TH AVENUE,ST. THERESA SCHOOL S,50.4579523520001,-104.544162118
,BALL DIAMOND,PACERS SPORTS PARK  MIDGET PRACTICE - BALL DIAMOND,5000 E ARCOLA AVENUE,PACERS SPORTS PARK  MIDGET PRACTICE,50.4122590790001,-104.507298637
,SEPARATE ELEMENTARY SCHOOL,ST. DOMINIC SAVIO - SEPARATE ELEMENTARY SCHOOL,195 WINDFIELD ROAD,ST. DOMINIC SAVIO - SEPARATE ELEMENTARY SCHOOL,50.4316541790001,-104.562816427
,REC_NBHD FACILITY,SANDRA SCHMIRLER LEISURE CENTRE - REC_NBHD FACILITY,3130 E WOODHAMS DRIVE,SANDRA SCHMIRLER LEISURE CENTRE,50.4296315400001,-104.535471951
,PLAYGROUND,GARDINER PARK - PLAYGROUND 424 UNIVERSITY PARK DR,424 UNIVERSITY PARK DRIVE,GARDINER PARK,50.4375720990001,-104.553096267
,SPRAYPAD,KINSMEN PARK SOUTH - SPRAYPAD 3310 LAKEVIEW AVE,3310 LAKEVIEW AVENUE,KINSMEN PARK SOUTH,50.423874911,-104.63220347
,BALL DIAMOND,KEN JENKINS PARK - BALL DIAMOND BS #198,5440 2ND AVENUE N,KEN JENKINS PARK,50.473048405,-104.659170594
,PLAYGROUND,ST. AUGUSTINE SCHOOL/JEAN VANIER INSTITUTE - PLAYGROUND 2343 EDGAR ST,2343 EDGAR STREET,ST. AUGUSTINE SCHOOL/JEAN VANIER INSTITUTE,50.4419471670001,-104.586703229
,OTHER SCHOOL,UNIVERSITY OF REGINA - LUTHER COLLEGE,3769 WASCANA PARKWAY,UNIVERSITY OF REGINA - LUTHER COLLEGE,50.4185477190001,-104.585816187
,BALL DIAMOND,PONY PARK W - BALL DIAMOND BS #287,3202 MCKINLEY AVENUE,PONY PARK W,50.4699590690001,-104.628509281
,BALL DIAMOND,L'ARCHE PARK/ARGYLE SCHOOL - BALL DIAMOND BS #2,3215 LAKEVIEW AVENUE,L'ARCHE PARK/ARGYLE SCHOOL,50.4215359020001,-104.627013407
,PLAYGROUND,LAKEVIEW SCHOOL - PLAYGROUND 3100 20TH AVE,3100 20TH AVENUE,LAKEVIEW SCHOOL,50.432461554,-104.625641281
,BALL DIAMOND,KEN JENKINS SCHOOL - BALL DIAMOND BS #197,210 MCINTOSH STREET,KEN JENKINS SCHOOL,50.4740708370001,-104.657714047
,ATHLETIC FIELD,ST TIMOTHY SOCCER - ATHLETIC FIELD SOCCER ATHLETIC FIELD,280 SANGSTER BOULEVARD,ST TIMOTHY SOCCER,50.4906620120001,-104.633589459
,ATHLETIC FIELD,ALBERT SCHOOL - ATHLETIC FIELD SOCCER ATHLETIC FIELD,1340 ROBINSON STREET,ALBERT SCHOOL,50.4578806120001,-104.625060403
,OUTDOOR RINK SHELTER,ELSIE MIRONUCK SCHOOL - OUTDOOR RINK SHELTER,20 WAKEFIELD CRESCENT,ELSIE MIRONUCK SCHOOL,50.4792336040001,-104.64825344
,BALL DIAMOND,BIRCHWOOD PARK SE - BALL DIAMOND BS #3,10 NORRIS ROAD,BIRCHWOOD PARK SE,50.4006951590001,-104.601822029
,PLAYGROUND,IMPERIAL SCHOOL - PLAYGROUND 200 BROAD ST,200 BROAD STREET,IMPERIAL SCHOOL,50.4748204270001,-104.606902527
,PLAYGROUND,W.F. READY SCHOOL - PLAYGROUND 2710 HELMSING ST,2710 HELMSING STREET,W.F. READY SCHOOL,50.4378744990001,-104.539486989
,OUTDOOR RINK UNBOARDED,GLENCAIRN PARK - OUTDOOR RINK UNBOARDED,2626 E DEWDNEY AVENUE,GLENCAIRN PARK,50.456822355,-104.542229376
,BALL DIAMOND,LES SHERMAN PARK NORTH - BALL DIAMOND BS #152,4055 15TH AVENUE,LES SHERMAN PARK NORTH,50.442137287,-104.640392543
,BALL DIAMOND,KITCHNER SCHOOL - BALL DIAMOND,840 ATHOL STREET,KITCHNER SCHOOL,50.4647328940001,-104.628573935
,SEPARATE ELEMENTARY SCHOOL,HOLY ROSARY - SEPARATE ELEMENTARY SCHOOL,2160 CAMERON STREET,HOLY ROSARY - SEPARATE ELEMENTARY SCHOOL,50.4443120080001,-104.626136575
,PLAYGROUND,FRENCH PARK - PLAYGROUND 1055 N MCINTOSH ST,1055 N MCINTOSH STREET,FRENCH PARK,50.4929123150001,-104.652081959
,ATHLETIC FIELD,ST. JEROME MULTI - ATHLETIC FIELD MULTI-USE ATHLETIC FIELD,750 RINK AVENUE,ST. JEROME MULTI,50.488878238,-104.680377548
,PLAYGROUND,DESHAYE SCHOOL W - PLAYGROUND 37 CAMERON CRES,37 CAMERON CRESCENT,DESHAYE SCHOOL W,50.412154302,-104.625030568
,INDOOR POOL,REGINA SPORTPLEX - INDOOR POOL,1717 ELPHINSTONE STREET,REGINA SPORTPLEX,50.4514686780001,-104.630109983
,PLAYGROUND,HIND PARK - PLAYGROUND 20 HIND ST,20 HIND STREET,HIND PARK,50.4863770840001,-104.681149047
,ATHLETIC FIELD,HAULTAIN SCHOOL - ATHLETIC FIELD SOCCER ATHLETIC FIELD,1033 EDGAR STREET,HAULTAIN SCHOOL,50.4616581750001,-104.587258615
,OUTDOOR RINK UNBOARDED,UNIVERSITY PARK - OUTDOOR RINK UNBOARDED,165 WINDFIELD ROAD,UNIVERSITY PARK,50.4314022170001,-104.561793268
,SEASONAL WASHROOM,KIWANIS WATERFALL PARK - SEASONAL WASHROOM,2755 ELPHINSTONE STREET,KIWANIS WATERFALL PARK,50.4367021470001,-104.629155826
,OUTDOOR RINK SHELTER,LESLIE PARK - OUTDOOR RINK SHELTER,3820 VICTORIA AVENUE,LESLIE PARK,50.4475948190001,-104.634251584
,PLAYGROUND,ST. TIMOTHY SCHOOL - PLAYGROUND 280 SANGSTER BLVD,280 SANGSTER BOULEVARD,ST. TIMOTHY SCHOOL,50.4912782150001,-104.632405865
,SEASONAL WASHROOM,GRASSICK PARK - SEASONAL WASHROOM,5325 DEWDNEY AVENUE,GRASSICK PARK,50.4546495270001,-104.66058418
,BASKETBALL,ST. FRANCIS SCHOOL - BASKETBALL,45 MIKKELSON DRIVE,ST. FRANCIS SCHOOL,50.4651311140001,-104.665050406
,PLAYGROUND,WILFRED HUNT SCHOOL - PLAYGROUND 101 MAYFIELD RD,101 MAYFIELD ROAD,WILFRED HUNT SCHOOL,50.4299491040001,-104.562852284
,OUTDOOR TENNIS,MOUNT PLEASANT SPORT PARK - OUTDOOR TENNIS,750 N WINNIPEG STREET,MOUNT PLEASANT SPORT PARK,50.4895917860001,-104.602268245
,PUBLIC ELEMENTARY SCHOOL,MASSEY - PUBLIC ELEMENTARY SCHOOL,131 MASSEY ROAD,MASSEY - PUBLIC ELEMENTARY SCHOOL,50.4111018870001,-104.607510126
,OUTDOOR RINK BOARDED,MCMURCHY PARK - OUTDOOR RINK BOARDED,250 N GARNET STREET,MCMURCHY PARK,50.4802720050001,-104.62875801
,BASKETBALL,HERCHMER SCHOOL - BASKETBALL,1132 MCTAVISH STREET,HERCHMER SCHOOL,50.4604961900001,-104.634867561
,CURLING CLUB,TARTAN - CURLING CLUB,1464 BROADWAY AVENUE,TARTAN,50.4381490650001,-104.601899786
,BALL DIAMOND,ST. ANDREW SCHOOL W - BALL DIAMOND BS #77,535 E DOUGLAS AVENUE,ST. ANDREW SCHOOL W,50.4319639510001,-104.577196208
,OUTDOOR RINK SHELTER,DR. GEORGE FERGUSON SCHOOL - OUTDOOR RINK SHELTER,129 BROTHERTON AVENUE,DR. GEORGE FERGUSON SCHOOL,50.452204356,-104.555565798
,REC_NBHD FACILITY,ALBERT SCOTT COMMUNITY CENTRE - REC_NBHD FACILITY,3350 7TH AVENUE,ALBERT SCOTT COMMUNITY CENTRE,50.458647446,-104.629044433
,OUTDOOR TENNIS,HOWELL PARK - OUTDOOR TENNIS,2930 E 7TH AVENUE,HOWELL PARK,50.4593007510001,-104.54328427
,ATHLETIC FIELD,GRASSICK PARK SOCCER - ATHLETIC FIELD SOCCER ATHLETIC FIELD,5325 DEWDNEY AVENUE,GRASSICK PARK SOCCER,50.4540563690001,-104.66136831
